Trial,Dose,Well,Minute,MD,MV,TD
3,1,B1,1,0.181535115,5.445976808,321.861759
3,1,A3,3,0.243253377,7.297501194,321.824218
2,1,A2,13,0.196944755,5.908256853,320.429116
1,1,A5,21,0.180309304,5.409214385,319.508087
3,1,A4,9,0.187320347,5.619536925,318.63191
3,1,A3,12,0.188108144,5.643167496,318.467087
1,1,A2,11,0.178821398,5.364570338,317.586802
3,1,A3,13,0.181159416,5.43470528,317.391297
2,1,A3,20,0.180428223,5.412761966,315.749391
3,1,A1,11,0.182438459,5.473081346,314.341464
3,1,A4,13,0.179734122,5.391948933,313.456308
2,1,A6,14,0.185339386,5.560096271,312.667545
2,1,A3,15,0.19084976,5.725409699,310.70341
3,1,B1,5,0.173557663,5.206656852,309.279755
3,1,B1,21,0.172459194,5.173706745,308.357038
2,1,B1,12,0.174384233,5.231455935,306.741865
1,1,A6,15,0.172069089,5.161996983,304.562287
1,1,A1,23,0.17120714,5.136143142,303.55026
1,1,A1,13,0.168804663,5.064071053,301.485129
1,1,A1,1,0.182694641,5.480765267,301.446157
3,1,A2,14,0.178948941,5.368392747,300.992119
2,1,A1,21,0.170686729,5.120538083,300.920703
2,1,A4,14,0.193320718,5.799523383,300.613716
3,1,A2,24,0.166362802,4.990815475,297.45669
2,1,B1,23,0.168119737,5.043521414,296.058856
2,1,A2,23,0.17168073,5.150356443,294.432452
2,1,A2,15,0.179499664,5.384914837,292.404952
3,1,A2,13,0.166698317,5.000879531,291.722055
3,1,B1,2,0.186641025,5.599151791,291.719922
3,1,A1,1,0.164387684,4.931558968,291.459363
3,1,A4,14,0.177978152,5.339270214,290.994279
3,1,A1,25,0.164385116,4.931483673,290.4685
3,1,A2,5,0.162608806,4.878199579,289.768893
3,1,A2,15,0.163849896,4.915429858,289.358916
2,1,A3,19,0.163424012,4.902648327,289.097077
2,1,A3,17,0.164143207,4.924233149,287.250613
1,1,A1,12,0.161250629,4.837449807,284.123609
3,1,A3,5,0.159241681,4.777182461,283.450193
2,1,A3,18,0.161808274,4.854178657,283.164479
1,1,A1,3,0.158890464,4.76664959,282.983916
3,1,A4,25,0.160246382,4.807323278,281.072154
2,1,A6,23,0.162467456,4.873952665,281.068699
1,1,A1,6,0.158600861,4.757960945,280.406322
3,1,B1,25,0.157855075,4.735583744,279.561337
2,1,A6,4,0.162546859,4.876332112,279.41805
3,1,A4,4,0.159085437,4.772491481,279.194942
2,1,A6,5,0.16055342,4.816531091,278.078524
2,1,A1,2,0.195624564,5.868655982,277.982506
2,1,A4,25,0.171876181,5.156203938,276.720652
2,1,A2,12,0.166733393,5.001932319,273.942965
2,1,A6,3,0.156193063,4.685720981,273.80644
2,1,A2,21,0.155919509,4.677531014,273.638739
3,1,A4,15,0.15394101,4.618163053,272.783469
3,1,A3,18,0.160051203,4.801478208,272.407148
